Sergio Fajardo hizo el oso en Bogota|Sergio Fajardo hacer_el_oso Bogota|-1
Petro es un populista y convertira a Colombia en Venezuela|Petro populista convertira Colombia Venezuela|-1
Fajardo esta perdiendo un gran cantidad de votantes por su falta de decision|Fajardo perdiendo gran cantidad votantes falta decision|-1
Claudia complementa de la mejor manera la campaña de Fajardo|Claudia complementa mejor manera campaña de Fajardo|1
Valle Con Fajardo en Twitter: ;?No paramos en el Valle! Hoy tuvimos una emocionante jornada en Cali de conversaciones ciudadanas. ;;?Porque somos #LaFuerzaDeLaEsperanza!;;?Nuestra sede es la calle! ;;#SePuede? https://t.co/UGPkvzZRZX;| ?no par valle! hoy tuvimos emocion jorn cali convers ciudadan    #lafuerzadelaesperanza!  ?nuestr sede calle!   #sepuede?      |1
J. Andrés Ortiz en Twitter: ;Hoy me voy a dormir, no me pregunten como ni por qué,  con la sensación de que en las calles de Colombia se respira cierto aire de optimismo. Crece #LaFuerzaDeLaEsperanza hay confianza en @sergio_fajardo #SePuede;| hoy dorm  no pregunten   sensacion calles colombi respir aire optim  crece #lafuerzadelaesper confianz @sergio_fajard #sepuede    |1
Joaquin Gallardo en Twitter: ;Don Sergio el FA son hijos de papá pseudo revolucionarios y los del PC una pila de pusilánimes que se llenan la boca con los derechos humanos pero solo cuando les afecta a ellos. No le pida ?? al Olmo https://t.co/OFHWqb6MpE;| don sergi FA hij pap pseud revolucionari PC pil pusilanimes llen boc derech human afect  No pid ?? olmo   |-1
Compromiso Ciudadano en Twitter: ;;La propuesta política nuestra es que no podemos construir una sociedad a partir del miedo. Tiene que haber un cambio para darle espacio a la inteligencia y las oportunidades. No nos quedemos en el miedo, nosotros somos la #FuerzaDeLaEsperanza;@sergio_fajardo #ConEducaciónSePuede https://t.co/lD2fqAXlOq;|  propuest politic no constru socied part mied  tiene cambi espaci inteligente oportun  No quedem mied  #fuerzadelaesper @sergio_fajard #coneducacionsepuede    |1
Marlene :c Gutiérrez en Twitter: ;Ese es el conflicto del alma de Álvaro Uribe, el hacer su sueño realidad emulando las maneras dominantes y totalitaristas que lo lleven a perpetuarse en el poder ??Envidia a Chavez y sufre gran frustración ante la figura de éste por no haberlo logrado todavía. https://t.co/3AqahA5Ob6;| conflict alma alvar uribe  sueñ realid emul maner domin totalitar lleven perpetuarse ??envidi chavez sufre frustracion figur no haberl logr todav      |1
Tenemos otra oportunidad de cambiar el rumbo del pa?s. Hay que aprovecharla. Hoy es el ?ltimo d?a para inscribir su c?dula. Consulten muy bien d?nde pueden hacerlo en https://t.co/hO3B2Y7omY. #ElEquipo. pic.twitter.com/nKxZHGw3xO&mdash; Fajardo Presidente (@sergio_fajardo) March 27, 2018		| |1
Valle Con Fajardo en Twitter: ;?No paramos en el Valle! Hoy tuvimos una emocionante jornada en Cali de conversaciones ciudadanas. ;;?Porque somos #LaFuerzaDeLaEsperanza!;;?Nuestra sede es la calle! ;;#SePuede? https://t.co/UGPkvzZRZX;| ?no par valle! hoy tuvimos emocion jorn cali convers ciudadan    #lafuerzadelaesperanza!  ?nuestr sede calle!   #sepuede?      |1
